Company Name,Company Rating,Global Size,Company Rating,Company Ownership Type,Company Rating,Company Age,Company Rating,Est Yearly Revenue
Connect Search LLC,3.7,2,3.7,2,3.7,11,3.7,4
"ConnectYourCare, LLC.",3.2,3,3.2,2,3.2,21,3.2,5
Connor Group,4,3,4,2,4,17,4,5
"Conn's, Inc.",3.8,5,3.8,3,3.8,20,3.8,9
Constellation Brands,3.2,6,3.2,3,3.2,78,3.2,11
"ConsultNet, LLC",4.3,3,4.3,2,4.3,27,4.3,6
ConsumerTrack,3.2,2,3.2,2,3.2,19,3.2,5
Contact 1,4.4,1,4.4,2,4.4,34,4.4,2
Container Store,3.3,6,3.3,3,3.3,45,3.3,8
Contemporary Staffing Solutions,4.4,5,4.4,2,4.4,29,4.4,7
Continental,3.9,7,3.9,3,3.9,152,3.9,12
Contingent Network Services,3.1,3,3.1,2,3.1,39,3.1,5
"Contracting Resources Group, Inc.",5,1,5,2,5,21,5,3
Control Risks,3.5,5,3.5,2,3.5,48,3.5,7
Convergenz,4,2,4,2,4,23,4,5
Convoso,4.2,1,4.2,2,4.2,15,4.2,3
Cook Children's Health Care System,3.7,6,3.7,8,3.7,105,3.7,7
Cooper Pest Solutions,4.6,2,4.6,2,4.6,68,4.6,3
CooperSurgical,2.7,3,2.7,13,2.7,33,2.7,7
COPA Health,3.6,4,3.6,8,3.6,66,3.6,5
COPE Health Solutions,3.5,2,3.5,2,3.5,28,3.5,5
Corbins Electric,3.7,4,3.7,2,3.7,48,3.7,7
Cordoba,3.3,3,3.3,3,3.3,40,3.3,4
CoreLogic,3,6,3,3,3,13,3,9
Core-Mark,3.4,6,3.4,3,3.4,135,3.4,12
CoreSite,3.8,3,3.8,3,3.8,22,3.8,7
CORESPHERE LLC,3.7,2,3.7,2,3.7,20,3.7,4
Corgan,4.2,3,4.2,2,4.2,85,4.2,6
CORMAC,2.7,1,2.7,2,2.7,21,2.7,1
Corner Alliance,4.5,1,4.5,2,4.5,16,4.5,3
Cornerstone OnDemand,3.9,5,3.9,3,3.9,24,3.9,8
CornerStone Professional Placement,3.8,2,3.8,2,3.8,32,3.8,6
CornerStone Staffing,3.8,2,3.8,2,3.8,32,3.8,6
Corning,3.8,7,3.8,3,3.8,172,3.8,12
Corptax,3.3,3,3.3,2,3.3,49,3.3,7
Correct Designs,5,1,5,2,5,24,5,2
Corsearch,2.5,3,2.5,2,2.5,74,2.5,6
Cortech,2.9,3,2.9,2,2.9,24,2.9,4
CorTech LLC,2.9,3,2.9,2,2.9,24,2.9,4
"CorTech, LLC",2.9,3,2.9,2,2.9,24,2.9,4
CorVel,3.1,5,3.1,3,3.1,36,3.1,8
Costco Wholesale,4,7,4,3,4,47,4,12
Costco Wholesale Corporation,4,7,4,3,4,47,4,12
COUNCIL ON ACCREDITATION,3.8,2,3.8,8,3.8,46,3.8,4
County of Los Angeles,4.1,7,4.1,6,4.1,173,4.1,12
Covance,3.4,7,3.4,3,3.4,27,3.4,4
Covenant Living,3.6,5,3.6,8,3.6,138,3.6,2
Covenant Surgical Partners,4.1,5,4.1,2,4.1,15,4.1,7
Coventry,3.2,7,3.2,2,3.2,170,3.2,12
COVETRUS INC,3.2,6,3.2,3,3.2,4,3.2,10
COVETRUS INC,3.3,6,3.3,3,3.3,4,3.3,10
Cowen,3.7,4,3.7,3,3.7,105,3.7,7
Coyote Logistics,3.1,5,3.1,3,3.1,17,3.1,10
Cozen O Connor,3.6,5,3.6,2,3.6,53,3.6,7
"cPrime, Inc.",4.6,3,4.6,3,4.6,16,4.6,7
Crane Payment Innovations,3.3,5,3.3,13,3.3,10,3.3,8
Crawford Thomas Recruiting,5,2,5,2,5,16,5,4
Creative Financial Staffing,4.5,3,4.5,2,4.5,29,4.5,6
"Credible Behavioral Health, Inc.",4,2,4,2,4,23,4,5
Credit Suisse,3.8,7,3.8,3,3.8,167,3.8,12
Crescent Electric Supply,3.3,5,3.3,2,3.3,104,3.3,9
CRH Americas Materials Inc,3.3,7,3.3,3,3.3,53,3.3,12
Crisis Response Network,3.8,2,3.8,8,3.8,16,3.8,5
Criteo,3.9,5,3.9,3,3.9,18,3.9,10
Cross River Bank,3.3,3,3.3,2,3.3,15,3.3,6
Crossmark,3,7,3,2,3,118,3,8
Crossroads Technologies,3.1,2,3.1,2,3.1,27,3.1,3
"Crossroads Technologies, Inc.",3.1,2,3.1,2,3.1,27,3.1,3
CrowdStrike,4,5,4,3,4,12,4,7
Crowe,3.8,5,3.8,2,3.8,81,3.8,8
Crowley Maritime,3.6,6,3.6,2,3.6,131,3.6,9
Crown Bioscience,2.4,4,2.4,2,2.4,17,2.4,6
Crown Castle,3.5,5,3.5,3,3.5,29,3.5,10
Crown Castle,3.6,5,3.6,3,3.6,29,3.6,10
Crown Castle USA Inc,3.6,5,3.6,3,3.6,29,3.6,10
CRS Group,4.7,2,4.7,2,4.7,29,4.7,4
Crypsis,4.8,2,4.8,2,4.8,8,4.8,5
Crystal Equation,3.9,2,3.9,2,3.9,17,3.9,5
Crystal Stairs,1.7,3,1.7,8,1.7,39,1.7,7
CSCI Consulting,4.3,2,4.3,2,4.3,21,4.3,4
CSG,3.9,5,3.9,3,3.9,29,3.9,8
CSI Tech Inc.,3,2,3,2,3,29,3,7
CSL Behring,3.7,6,3.7,3,3.7,19,3.7,10
CSX,2.3,7,2.3,3,2.3,45,2.3,12
CTBC Bank USA,3.3,2,3.3,2,3.3,34,3.3,6
CTI Foods,2.3,5,2.3,2,2.3,20,2.3,7
Cubic,3.3,6,3.3,3,3.3,72,3.3,9
"Culmen International, LLC",3.6,3,3.6,2,3.6,19,3.6,5
CultureFit Technology Staffing,5,1,5,2,5,26,5,2
Culver Careers,4.8,2,4.8,2,4.8,44,4.8,3
Cuny Research Foundation,4.2,7,4.2,8,4.2,60,4.2,7
Curbell,3.6,3,3.6,2,3.6,76,3.6,7
CURO Health Services,2.4,3,2.4,2,2.4,13,2.4,4
Currency Exchange International,4.6,3,4.6,3,4.6,15,4.6,5
Custom Ink,4.1,5,4.1,2,4.1,23,4.1,7
CVR,3,5,3,3,3,17,3,10
CVS Health,2.9,7,2.9,3,2.9,60,2.9,12
cxLoyalty,3,5,3,2,3,42,3,9
CyberCoders,4.2,3,4.2,13,4.2,24,4.2,7
Cybersoft Technologies,3.2,2,3.2,2,3.2,25,3.2,4
"Cyberthink, Inc",3.6,3,3.6,2,3.6,27,3.6,5
"cyberThink, Inc.",3.6,3,3.6,2,3.6,27,3.6,5
CYNET CORP,4,4,4,2,4,13,4,6
CYNET SYSTEMS,4,4,4,2,4,13,4,6
Cypress-Fairbanks Independent School District,3.9,7,3.9,11,3.9,84,3.9,8
Cypress-Fairbanks ISD,4,7,4,11,4,84,4,8
Cypress-Fairbanks ISD,3.9,7,3.9,11,3.9,84,3.9,8
CyrusOne,3.4,3,3.4,3,3.4,23,3.4,9
Cystic Fibrosis Foundation,3.2,4,3.2,8,3.2,68,3.2,7
D.R. Horton,3.1,6,3.1,3,3.1,45,3.1,12
DaBella,4.4,3,4.4,2,4.4,12,4.4,6
Dade Moeller,3.6,3,3.6,2,3.6,29,3.6,4
Dallas Independent School District,3.3,7,3.3,11,3.3,156,3.3,9
Dallas ISD,3.3,7,3.3,11,3.3,156,3.3,9
Dana-Farber Cancer Institute,4.1,5,4.1,8,4.1,76,4.1,8
DATA Inc.,4.3,4,4.3,2,4.3,40,4.3,6
DATA Inc.,4.1,4,4.1,2,4.1,40,4.1,6
Data Trust,3.1,2,3.1,8,3.1,18,3.1,4
"Data-Core System, Inc.",3.1,3,3.1,2,3.1,35,3.1,5
Data-Core Systems,3.1,3,3.1,2,3.1,35,3.1,5
Datadog,4.1,5,4.1,3,4.1,13,4.1,7
DATAECONOMY,5,1,5,3,5,5,5,2
DataFactZ,3.9,4,3.9,2,3.9,21,3.9,6
Dataspace,4,1,4,2,4,29,4,3
DAtec,2.9,1,2.9,2,2.9,48,2.9,3
Daugherty Business Solutions,4.3,5,4.3,2,4.3,38,4.3,7
David Weekley Homes,4.3,5,4.3,2,4.3,47,4.3,9
DAV-LEAR SYSTEMS INC,4,1,4,2,4,31,4,2
DAWSON,3.4,2,3.4,2,3.4,77,3.4,6
Daymon,3.2,7,3.2,2,3.2,53,3.2,9
DCP Midstream LP,3,5,3,3,3,18,3,9
De Lage Landen,4,6,4,2,4,54,4,6
DealerSocket,3.9,5,3.9,2,3.9,22,3.9,7
Dean Foods,2.4,7,2.4,3,2.4,98,2.4,11
Decision Resources Group,3.1,5,3.1,13,3.1,33,3.1,7
DecisionLogic,3.1,1,3.1,2,3.1,18,3.1,4
"Dedicated Tech Services, Inc.",4.5,1,4.5,10,4.5,15,4.5,2
Deemsys,3.9,2,3.9,2,3.9,25,3.9,2
Deemsys Inc,3.9,2,3.9,2,3.9,25,3.9,2
Delek US,3,5,3,3,3,22,3,12
Delivery First,4.5,2,4.5,2,4.5,6,4.5,8
Dell,4.1,7,4.1,3,4.1,39,4.1,12
Dell Technologies,4.1,7,4.1,3,4.1,39,4.1,12
Della Infotech Inc.,4.1,2,4.1,2,4.1,11,4.1,3
Delmarva Foundation,3.1,4,3.1,8,3.1,50,3.1,6
Deloitte,4,7,4,2,4,173,4,12
Deloitte & Touche L.L.P.,3.9,7,3.9,2,3.9,173,3.9,12
Denken Solutions,4.4,3,4.4,2,4.4,13,4.4,5
"Denken Solutions, Inc.",4.4,3,4.4,2,4.4,13,4.4,5
Dentsply Sirona,3.3,7,3.3,3,3.3,124,3.3,10
DEREX TECHNOLOGIES INC.,4.1,2,4.1,2,4.1,27,4.1,4
Desert Financial,3.2,5,3.2,3,3.2,84,3.2,6
Desert Financial Credit Union,3.2,5,3.2,3,3.2,84,3.2,6
"Designer Brands (DSW, Camuto Group)",3.3,7,3.3,3,3.3,54,3.3,10
Deutsche Bank,3.5,7,3.5,3,3.5,153,3.5,12
Developmental Pathways,3.6,4,3.6,8,3.6,59,3.6,5
Dew Software,2.9,2,2.9,2,2.9,26,2.9,4
DeWolff Boberg & Associates,4,2,4,2,4,36,4,5
"Dewolff, Boberg & Associates",4,2,4,2,4,36,4,5
Dexcom,3.5,5,3.5,3,3.5,24,3.5,9
"Dexcom, Inc.",3.5,5,3.5,3,3.5,24,3.5,9
Dextro Software Systems,3.5,2,3.5,2,3.5,30,3.5,4
DHI Mortgage,4.4,5,4.4,13,4.4,43,4.4,6
DHL Express,3.8,7,3.8,13,3.8,54,3.8,12
DHPC Technologies,3.7,2,3.7,2,3.7,31,3.7,5
Dialexa,4.8,2,4.8,2,4.8,13,4.8,4
Diamond Hill Investment,3.4,2,3.4,3,3.4,23,3.4,5
Dickey's Barbecue,3.1,5,3.1,5,3.1,82,3.1,5
Dietz & Watson,2.8,4,2.8,2,2.8,84,2.8,7
"Digital Intelligence Systems, LLC",3.4,5,3.4,2,3.4,29,3.4,7
Digital Shadows,3.5,2,3.5,2,3.5,12,3.5,4
Digitalibiz,4,2,4,2,4,21,4,4
"Dillard's, Inc.",2.9,7,2.9,3,2.9,85,2.9,11
Dimensional Fund Advisors,3.2,5,3.2,2,3.2,42,3.2,9
DineEquity,3.4,4,3.4,3,3.4,16,3.4,8
Diocese of San Diego,2.8,3,2.8,8,2.8,104,2.8,4
Direct Agents,4.5,2,4.5,2,4.5,20,4.5,5
Direct Agents,4.4,2,4.4,2,4.4,20,4.4,5
Direct Energy,3.5,6,3.5,13,3.5,37,3.5,5
Discount Tire,4,7,4,2,4,63,4,10
Discover,3.8,7,3.8,3,3.8,38,3.8,11
"Discovery Communications, Inc.",3.5,7,3.5,3,3.5,38,3.5,11
Discovery Isle,2.2,2,2.2,2,2.2,17,2.2,2
DiscTech LLC,3.7,1,3.7,2,3.7,20,3.7,2
Distribution Now,2.4,5,2.4,3,2.4,10,2.4,10
Disys,3.4,5,3.4,2,3.4,29,3.4,7
"DISYS - Digital Intelligence Systems, LLC",3.4,5,3.4,2,3.4,29,3.4,7
Diversant LLC,3.8,5,3.8,2,3.8,18,3.8,7
"DIVERSANT, LLC",3.8,5,3.8,2,3.8,18,3.8,7
"DIVERSANT, LLC.",3.8,5,3.8,2,3.8,18,3.8,7
Diverse Lynx,3.9,4,3.9,2,3.9,21,3.9,7
Diverse Lynx Llc,3.9,4,3.9,2,3.9,21,3.9,7
DJO,3,6,3,13,3,45,3,9
DJO Global,3,6,3,13,3,45,3,9
DLL,4,6,4,2,4,54,4,6
DMGT,4,6,4,3,4,127,4,9
Doctors Making Housecalls,3.6,3,3.6,2,3.6,21,3.6,2
DOLLAR GENERAL,2.8,7,2.8,3,2.8,84,2.8,12
Donatech,4.3,3,4.3,2,4.3,36,4.3,4
Donatech Corporation,4.3,3,4.3,2,4.3,36,4.3,4
dormakaba,3.2,7,3.2,3,3.2,8,3.2,10
DoSomething.org,3.6,2,3.6,8,3.6,30,3.6,3
Dovel Technologies,4.2,5,4.2,2,4.2,18,4.2,7
Dover Corporation,3.6,7,3.6,3,3.6,68,3.6,11
DOWL,4.5,3,4.5,2,4.5,61,4.5,6
DPR Construction,4.4,5,4.4,2,4.4,33,4.4,10
Dresner Partners Investment Banking,3.3,1,3.3,2,3.3,32,3.3,4
Drilling Info,3.6,5,3.6,2,3.6,24,3.6,7
Dril-Quip,3.1,5,3.1,3,3.1,42,3.1,8
DRINKS,4.1,2,4.1,2,4.1,10,4.1,6
Driven Brands,1.8,5,1.8,2,1.8,17,1.8,10
"DriveTime Automotive Group, Inc.",3.7,6,3.7,2,3.7,21,3.7,10
"DSC Logistics, LLC",2.9,5,2.9,2,2.9,63,2.9,8
Dstillery,4,2,4,2,4,15,4,4
DSV Global Transport & Logistics,3.6,3,3.6,2,3.6,47,3.6,6
DSW,3.3,7,3.3,3,3.3,54,3.3,10
DTCC,3.4,5,3.4,2,3.4,50,3.4,9
Dtex Systems,4.1,2,4.1,2,4.1,21,4.1,3
"DuCharme, McMillen & Associates",4.5,3,4.5,2,4.5,51,4.5,6
Duetto,4.5,2,4.5,2,4.5,11,4.5,5
Dun & Bradstreet,3.1,5,3.1,3,3.1,182,3.1,9
Dun & Bradstreet,3.7,5,3.7,2,3.7,26,3.7,5
Duncan Financial Group,4.5,2,4.5,2,4.5,45,4.5,4
Duolingo,5,3,5,2,5,12,5,4
Durlston Partners,4.9,1,4.9,2,4.9,13,4.9,3
Dutech Systems Inc,4.9,2,4.9,2,4.9,8,4.9,2
DW Simpson,4.2,2,4.2,2,4.2,34,4.2,4
DXC Technology,3,7,3,3,3,6,3,12
DXP Enterprises,3.1,5,3.1,3,3.1,115,3.1,9
"DXP Enterprises, Inc",3.1,5,3.1,3,3.1,115,3.1,9
Dynam.AI,3.5,7,3.5,3,3.5,71,3.5,12
Dynamic Computing Services,4.7,2,4.7,2,4.7,33,4.7,4
DynCorp International,3.7,7,3.7,2,3.7,77,3.7,9
DynCorp International LLC.,3.7,7,3.7,2,3.7,77,3.7,9
DynPro Inc.,3.5,2,3.5,2,3.5,27,3.5,4
Dyson,2.9,7,2.9,2,2.9,30,2.9,7
E Business International,3.1,2,3.1,2,3.1,31,3.1,2
E&S Ring Management,3.7,3,3.7,2,3.7,64,3.7,5
E*TRADE Financial,3.9,5,3.9,3,3.9,41,3.9,10
"E2 Consulting Engineers, Inc.",3.5,3,3.5,2,3.5,35,3.5,6
E2open,3.5,5,3.5,2,3.5,23,3.5,7
E2open,3.4,5,3.4,2,3.4,23,3.4,7
EAC Product Development Solutions,3.7,2,3.7,2,3.7,27,3.7,5
Eagle Investment Systems,3.7,4,3.7,13,3.7,34,3.7,7
"Eagle Technologies, Inc.",4,2,4,2,4,19,4,5
Eastern Virginia Medical School,3.4,5,3.4,1,3.4,59,3.4,7
Eataly North America,3,5,3,9,3,13,3,2
eBay,3.6,7,3.6,3,3.6,28,3.6,12
eBay,3.5,7,3.5,3,3.5,28,3.5,12
Ebix,2.7,5,2.7,3,2.7,56,2.7,7
Echo Global Logistics,3.4,5,3.4,3,3.4,18,3.4,10
Eclaro,3.5,4,3.5,2,3.5,24,3.5,5
Eclaro,3.4,4,3.4,2,3.4,24,3.4,5
eClerx LLC,3.4,6,3.4,3,3.4,23,3.4,7
Ecolab,3.6,7,3.6,3,3.6,100,3.6,12
Econosoft,3.8,2,3.8,2,3.8,27,3.8,2
ECS Corporate Services,3.2,5,3.2,2,3.2,35,3.2,7
eDataForce consulting LLC,3.4,1,3.4,2,3.4,11,3.4,2
Eddie Bauer,3.3,6,3.3,13,3.3,103,3.3,9
EdgeLink,4.2,1,4.2,2,4.2,20,4.2,2
Edgilent Corp.,3.9,1,3.9,13,3.9,8,3.9,2
EDI Staffing,4.6,2,4.6,2,4.6,29,4.6,4
Edible Arrangements,3.5,3,3.5,2,3.5,24,3.5,8
Edmentum,3.5,4,3.5,2,3.5,11,3.5,7
Edmodo,3.8,2,3.8,2,3.8,15,3.8,3
Edmunds.com,3.6,4,3.6,2,3.6,57,3.6,7
EDP Renewables,3.6,4,3.6,3,3.6,25,3.6,8
EDP Renovaveis,3.6,4,3.6,3,3.6,25,3.6,8
"EDP World, Inc.",3.5,1,3.5,2,3.5,55,3.5,2
EdTec,3.7,1,3.7,2,3.7,22,3.7,2
"Education Development Center, Inc.",3.9,4,3.9,8,3.9,65,3.9,7
Edward Jones - Home Office,3.8,7,3.8,2,3.8,101,3.8,11
Edwards Lifesciences,4,7,4,3,4,65,4,10
edX,3.7,2,3.7,8,3.7,11,3.7,5
"Efficient IP, Inc.",4.1,2,4.1,2,4.1,19,4.1,4
Efficio,4.2,3,4.2,2,4.2,23,4.2,6
Efinancial,3.5,3,3.5,2,3.5,22,3.5,6
Egon Zehnder,3.3,5,3.3,2,3.3,59,3.3,8
eHana,3.6,1,3.6,2,3.6,22,3.6,2
eHealth,3.8,5,3.8,3,3.8,26,3.8,7
eHealth,3.7,5,3.7,3,3.7,26,3.7,7
"EIS Group, Inc.",3.1,5,3.1,13,3.1,25,3.1,8
ektello,4.6,3,4.6,2,4.6,12,4.6,4
El Toro,4.8,2,4.8,2,4.8,10,4.8,5
Elastic,4,5,4,3,4,11,4,7
Electro Rent Corporation,3.5,3,3.5,2,3.5,58,3.5,8
Electronic Arts,3.9,6,3.9,3,3.9,41,3.9,10
"Electronic Consulting Services, Inc.",3.5,5,3.5,3,3.5,23,3.5,8
Elevano,4.5,1,4.5,2,4.5,14,4.5,2
Elevate Services,3.5,5,3.5,2,3.5,12,3.5,6
ELEVI Associates,5,1,5,2,5,21,5,3
Eli Lilly and Company,3.7,7,3.7,3,3.7,147,3.7,12
Eliassen Group,4.2,5,4.2,2,4.2,34,4.2,7
Eliassen Group,4.3,5,4.3,2,4.3,34,4.3,7
Elite Technical,5,2,5,2,5,31,5,3
Ellucian Inc.,3.5,5,3.5,2,3.5,55,3.5,8
"E-Logic, Inc.",4.4,1,4.4,2,4.4,16,4.4,3
Elsevier,3.4,6,3.4,13,3.4,143,3.4,10
Emanate Health,4.8,5,4.8,2,4.8,40,4.8,6
EmblemHealth,2.4,5,2.4,8,2.4,86,2.4,11
EMCORE,2.7,4,2.7,3,2.7,39,2.7,6
EMCORE Corporation,2.7,4,2.7,3,2.7,39,2.7,6
EMD Millipore,3.2,6,3.2,13,3.2,355,3.2,9
Emerald Resource Group,4.2,1,4.2,2,4.2,26,4.2,2
Emergent BioSolutions,3,5,3,3,3,25,3,9
Emerson,3.7,7,3.7,3,3.7,133,3.7,12
Emerson,3.6,7,3.6,3,3.6,133,3.6,12
Emerson Electric Co,3.6,7,3.6,3,3.6,133,3.6,12
Emerson Electric Co.,3.6,7,3.6,3,3.6,133,3.6,12
emids,3.7,5,3.7,2,3.7,24,3.7,7
eMids Technologies,3.6,5,3.6,2,3.6,24,3.6,7
eMids Technologies,3.7,5,3.7,2,3.7,24,3.7,7
Emory University,4.2,7,4.2,1,4.2,49,4.2,10
Empire Today,3.6,5,3.6,2,3.6,64,3.6,8
Employbridge,3.5,5,3.5,2,3.5,17,3.5,10
Employees Retirement System of Texas,3.7,3,3.7,6,3.7,76,3.7,7
Empower Professionals,4.8,2,4.8,2,4.8,19,4.8,5
Empyrean Benefit Solutions,2.1,3,2.1,2,2.1,17,2.1,6
"Emtec, Inc.",3.8,4,3.8,2,3.8,28,3.8,7
Enbridge,3.2,7,3.2,3,3.2,74,3.2,12
Encore Capital Group,3.2,6,3.2,3,3.2,70,3.2,9
Encova,3.9,5,3.9,2,3.9,4,3.9,9
Endurance International Group,3.3,5,3.3,3,3.3,26,3.3,9
Energy Services Group,3.1,3,3.1,2,3.1,25,3.1,4
Energy Transfer,3.7,7,3.7,3,3.7,28,3.7,12
Energy Transfer Family of Partnerships,3.7,7,3.7,3,3.7,28,3.7,12
ENGIE,3.6,7,3.6,3,3.6,15,3.6,12
ENGIE North America,3.6,5,3.6,3,3.6,28,3.6,10
Engineered Profiles LLC,4,3,4,2,4,76,4,6
Engineering Research,2.7,3,2.7,2,2.7,30,2.7,6
"ENGINEERING SERVICES NETWORK, Inc.",4.2,3,4.2,2,4.2,29,4.2,4
EnLink Midstream,2.9,5,2.9,3,2.9,9,2.9,9
Enpro Industries,3.4,6,3.4,3,3.4,21,3.4,9
Enquero Inc,3.7,4,3.7,2,3.7,9,3.7,6
"ENSCO, Inc.",2.7,4,2.7,2,2.7,54,2.7,7
Ent Credit Union,3.7,4,3.7,9,3.7,66,3.7,7
Entegee,3.7,5,3.7,13,3.7,27,3.7,7
Enterprise Bank & Trust,4.4,4,4.4,3,4.4,29,4.4,11
Enterprise Integration,3.4,2,3.4,2,3.4,25,3.4,5
Enterprise Solutions Inc,3.8,2,3.8,2,3.8,23,3.8,5
Enterprise Solutions Inc,3.9,2,3.9,2,3.9,23,3.9,5
Enverus,3.6,5,3.6,2,3.6,24,3.6,7
Enview,5,1,5,2,5,8,5,2
Environmental & Occupational,3.3,2,3.3,2,3.3,33,3.3,5
Environmental Defense,4,4,4,8,4,56,4,7
Envision LLC,4.5,3,4.5,2,4.5,29,4.5,5
Envolve People Care,2.7,6,2.7,13,2.7,8,2.7,4
EPCOR,3.6,5,3.6,9,3.6,132,3.6,9
Epiq,3.6,6,3.6,2,3.6,35,3.6,9
Epiq Systems,3.6,6,3.6,2,3.6,35,3.6,9
"Epiq Systems, Inc.",3.6,6,3.6,2,3.6,35,3.6,9
ePromptus Inc.,3.1,1,3.1,2,3.1,18,3.1,2
"ePromptus,Inc",3.1,1,3.1,2,3.1,18,3.1,2
Epsilon,3.4,6,3.4,13,3.4,54,3.4,10
"Epsilon Systems Solutions, Inc.",3.5,4,3.5,2,3.5,25,3.5,7
Epson America,3.6,4,3.6,13,3.6,48,3.6,10
Equifax,3,7,3,3,3,124,3,10
Equinix,3.9,6,3.9,3,3.9,25,3.9,11
Equitable,3.6,6,3.6,3,3.6,164,3.6,8
Equity Residential,4.2,5,4.2,3,4.2,30,4.2,10
Ercot,3.6,4,3.6,8,3.6,37,3.6,7
ERGO Group,3.3,3,3.3,2,3.3,30,3.3,5
Eskenazi Health,3.8,5,3.8,7,3.8,164,3.8,5
ESolutions Inc,4,3,4,2,4,24,4,6
"E-Solutions, Inc.",3.8,5,3.8,2,3.8,20,3.8,7
eSolutionsFirst,3.7,1,3.7,2,3.7,16,3.7,2
"eSolutionsFirst, LLC",3.7,1,3.7,2,3.7,16,3.7,2
Esquire Recruiting,4.6,1,4.6,2,4.6,11,4.6,2
Esri,3.5,5,3.5,2,3.5,54,3.5,9
Essilor,3.1,7,3.1,3,3.1,51,3.1,11
Estée Lauder Companies,3.8,7,3.8,3,3.8,77,3.8,12
eTeam Inc.,3.7,2,3.7,2,3.7,24,3.7,6
Ethos Group,4.1,3,4.1,2,4.1,27,4.1,7
"EtiVenture, Inc.",4.8,1,4.8,2,4.8,15,4.8,4
Etsy,3.6,4,3.6,3,3.6,18,3.6,7
Euclid Innovations,4.5,3,4.5,2,4.5,14,4.5,4
Eurasia Group,2.9,1,2.9,2,2.9,25,2.9,3
Eurofins,3.4,7,3.4,2,3.4,36,3.4,10
Eurofins Scientific,3.4,7,3.4,2,3.4,36,3.4,10
Everise,4.5,6,4.5,2,4.5,13,4.5,7
Eversight,4.2,2,4.2,2,4.2,10,4.2,4
Evolent Health,2.9,5,2.9,3,2.9,12,2.9,5
"Evolent Health, Inc.",2.9,5,2.9,3,2.9,12,2.9,5
"Evolver, Inc.",3.2,3,3.2,2,3.2,23,3.2,5
Exact Sciences Corporation,4,5,4,3,4,28,4,7
Exar,2.6,3,2.6,3,2.6,52,2.6,7
eXcell,3.5,3,3.5,13,3.5,22,3.5,5
Exelon,3.9,7,3.9,3,3.9,23,3.9,12
Exelon Corporation,3.9,7,3.9,3,3.9,23,3.9,12
Exeter Finance,3.5,5,3.5,2,3.5,17,3.5,8
EXL,3.6,7,3.6,3,3.6,24,3.6,8
Exl Service,3.6,7,3.6,3,3.6,24,3.6,8
exp.,3.3,5,3.3,2,3.3,117,3.3,8
Experian,4.1,7,4.1,3,4.1,43,4.1,10
Experian,4.2,7,4.2,3,4.2,43,4.2,10
Exponent,3.5,5,3.5,3,3.5,56,3.5,7
EXPRESS,3.2,7,3.2,3,3.2,43,3.2,10
ExterNetworks Inc.,3.8,3,3.8,2,3.8,22,3.8,5
EY,3.8,7,3.8,2,3.8,34,3.8,12
F5 Networks,3.8,6,3.8,3,3.8,27,3.8,9
"FABERGENT, INC.",4.9,2,4.9,2,4.9,18,4.9,3
Facebook,4.5,7,4.5,3,4.5,19,4.5,11
Facility Solutions Group,3.4,5,3.4,2,3.4,41,3.4,8
FacilitySource,3.6,5,3.6,3,3.6,22,3.6,7
FactSet,3.7,6,3.7,3,3.7,45,3.7,9
"Fair, Isaac and Company",3.5,5,3.5,3,3.5,67,3.5,8
Fairway Independent Mortgage,3.7,6,3.7,2,3.7,27,3.7,12
Fairway Independent Mortgage Corporation,3.7,6,3.7,2,3.7,27,3.7,12
Family Health Centers of San Diego,3.5,5,3.5,8,3.5,53,3.5,7
FAMILY INVOLVEMENT CENTER,3.6,1,3.6,8,3.6,21,3.6,2
FanDuel,3.9,4,3.9,2,3.9,14,3.9,7
Fannie Mae,3.8,6,3.8,3,3.8,85,3.8,12
FarePortal,3.2,5,3.2,2,3.2,21,3.2,10
Farm Credit Bank of Texas,3.3,3,3.3,2,3.3,107,3.3,7
Farmer Brothers Coffee,2.9,5,2.9,3,2.9,111,2.9,8
Farmers Insurance,3.5,7,3.5,13,3.5,95,3.5,9
Farmers Insurance Group,3.5,7,3.5,13,3.5,95,3.5,9
"Fast Switch, LTD",4.3,4,4.3,2,4.3,27,4.3,7
Favor TechConsulting,4.1,3,4.1,2,4.1,16,4.1,6
Fay Servicing,2.2,4,2.2,2,2.2,15,2.2,4
FCx Performance,3.2,4,3.2,2,3.2,34,3.2,7
Federal Management Systems,4.4,3,4.4,2,4.4,33,4.4,4
Federal Mangement Systems,4.4,3,4.4,2,4.4,33,4.4,4
Federal Reserve Bank,3.7,5,3.7,2,3.7,109,3.7,12
Federal Reserve Bank of Boston,4,5,4,8,4,109,4,10
Federal Reserve Bank of Chicago,3.5,5,3.5,6,3.5,109,3.5,10
Federal Reserve Bank of Chicago,3.6,5,3.6,6,3.6,109,3.6,10
Federal Reserve Bank of Philadelphia,3.7,4,3.7,2,3.7,109,3.7,6
Federal Reserve Bank of Richmond,3.6,5,3.6,8,3.6,109,3.6,11
Federal Reserve Bank of St. Louis,3.5,5,3.5,2,3.5,110,3.5,9
"Federated Hermes, Inc.",3.5,5,3.5,3,3.5,68,3.5,9
Feeding America,3.3,2,3.3,8,3.3,44,3.3,10
FEI Systems,3,3,3,2,3,24,3,6
Ferrellgas,3.3,5,3.3,3,3.3,84,3.3,10
Ferring Pharmaceuticals,3.1,6,3.1,2,3.1,43,3.1,7
